user_id,last_order_date,frequency,monetary,avg_basket,n_items_total,first_order_date,recency,customer_age_days,order_frequency_per_month,R_score,F_score,M_score,RFM_score,RFM_combined,segment
33,2024-02-04,7,224.88,32.12571428571429,42,2024-01-09,26,52,4.04,4,3,3,433,3.3333333333333335,Loyal Customers
34,2024-01-22,7,223.96,31.994285714285716,34,2023-12-18,39,74,2.84,3,3,3,333,3.0,Loyal Customers
35,2024-02-18,14,700.08,50.00571428571429,137,2024-01-09,12,52,8.08,5,5,5,555,5.0,Champions
36,2024-02-10,16,761.29,47.580625,153,2023-12-26,20,66,7.27,4,5,5,455,4.666666666666667,Champions
37,2024-02-28,4,140.01999999999998,35.004999999999995,29,2024-02-03,2,27,4.44,5,2,2,522,3.0,Potential Loyalists
38,2024-02-21,9,328.73,36.525555555555556,56,2024-02-06,9,24,11.25,5,4,4,544,4.333333333333333,Champions
39,2024-01-13,4,117.4,29.35,21,2023-11-03,48,119,1.01,3,2,2,322,2.3333333333333335,Potential Loyalists
40,2024-01-19,3,67.28,22.426666666666666,18,2023-12-11,42,81,1.11,3,2,2,322,2.3333333333333335,Potential Loyalists
41,2024-01-11,7,217.76999999999998,31.109999999999996,39,2023-10-31,50,122,1.72,2,3,3,233,2.6666666666666665,Loyal Customers
42,2023-12-29,5,135.11,27.022000000000002,23,2023-10-13,63,140,1.07,2,2,2,222,2.0,Potential Loyalists
43,2024-01-31,12,501.68,41.806666666666665,98,2024-01-14,30,47,7.66,3,4,4,344,3.6666666666666665,Loyal Customers
44,2023-12-17,3,69.68,23.22666666666667,13,2023-11-10,75,112,0.8,2,2,2,222,2.0,Potential Loyalists
45,2023-11-13,4,128.52,32.13,27,2023-08-25,109,189,0.63,1,2,2,122,1.6666666666666667,Lost Customers
46,2024-01-21,6,190.62,31.77,35,2023-12-24,40,68,2.65,3,3,3,333,3.0,Loyal Customers
47,2024-02-12,16,817.89,51.118125,167,2024-01-04,18,57,8.42,4,5,5,455,4.666666666666667,Champions
48,2024-01-04,4,137.44,34.36,32,2023-11-21,57,101,1.19,2,2,2,222,2.0,Potential Loyalists
49,2024-02-23,12,612.6899999999999,51.0575,130,2024-02-06,7,24,15.0,5,4,5,545,4.666666666666667,Champions
50,2024-02-17,10,444.53999999999996,44.45399999999999,83,2024-01-28,13,33,9.09,5,4,4,544,4.333333333333333,Champions
51,2024-02-25,10,679.87,67.987,123,2024-01-27,5,34,8.82,5,4,5,545,4.666666666666667,Champions
52,2024-01-16,5,135.68,27.136000000000003,21,2023-11-22,45,100,1.5,3,2,2,322,2.3333333333333335,Potential Loyalists
53,2023-12-18,2,49.129999999999995,24.564999999999998,8,2023-11-18,74,104,0.58,2,1,1,211,1.3333333333333333,Potential Loyalists
54,2024-01-15,4,129.04,32.26,23,2024-01-08,46,53,2.26,3,2,2,322,2.3333333333333335,Potential Loyalists
55,2023-11-04,1,32.4,32.4,7,2023-11-04,118,118,0.25,1,1,1,111,1.0,Lost Customers
56,2024-02-08,2,49.96,24.98,6,2024-02-07,22,23,2.61,4,1,1,411,2.0,Potential Loyalists
57,2024-01-26,3,93.85,31.28333333333333,16,2024-01-02,35,59,1.53,3,2,2,322,2.3333333333333335,Potential Loyalists
58,2024-02-09,12,551.0699999999999,45.92249999999999,113,2024-01-13,21,48,7.5,4,4,5,445,4.333333333333333,Champions
59,2024-02-29,4,220.95,55.2375,34,2024-02-20,1,10,12.0,5,2,3,523,3.3333333333333335,Potential Loyalists
60,2023-12-13,1,29.88,29.88,5,2023-12-13,79,79,0.38,2,1,1,211,1.3333333333333333,Potential Loyalists
61,2024-01-25,4,114.39000000000001,28.597500000000004,18,2024-01-09,36,52,2.31,3,2,2,322,2.3333333333333335,Potential Loyalists
62,2024-02-09,6,182.52,30.42,28,2024-01-22,21,39,4.62,4,3,3,433,3.3333333333333335,Loyal Customers
63,2024-01-13,2,35.72,17.86,6,2024-01-08,48,53,1.13,3,1,1,311,1.6666666666666667,Potential Loyalists
64,2023-11-27,5,130.38,26.076,22,2023-10-18,95,135,1.11,1,2,2,122,1.6666666666666667,Lost Customers
65,2024-01-20,5,160.7,32.14,30,2024-01-06,41,55,2.73,3,2,3,323,2.6666666666666665,Potential Loyalists
66,2024-02-09,6,202.38,33.73,38,2024-01-20,21,41,4.39,4,3,3,433,3.3333333333333335,Loyal Customers
67,2024-02-20,9,384.21999999999997,42.691111111111105,70,2024-02-01,10,29,9.31,5,4,4,544,4.333333333333333,Champions
68,2024-02-18,20,1299.45,64.9725,255,2024-01-06,12,55,10.91,5,5,5,555,5.0,Champions
69,2024-01-20,5,215.01,43.001999999999995,43,2023-12-27,41,65,2.31,3,2,3,323,2.6666666666666665,Potential Loyalists
70,2024-02-21,13,469.14,36.08769230769231,90,2024-01-26,9,35,11.14,5,5,4,554,4.666666666666667,Champions
71,2024-02-14,6,200.9,33.483333333333334,39,2024-01-07,16,54,3.33,4,3,3,433,3.3333333333333335,Loyal Customers
72,2023-08-22,3,66.65,22.21666666666667,8,2023-06-23,192,252,0.36,1,2,2,122,1.6666666666666667,Lost Customers
73,2024-02-18,10,414.37,41.437,75,2024-01-31,12,30,10.0,5,4,4,544,4.333333333333333,Champions
74,2024-02-15,11,555.49,50.49909090909091,102,2024-01-22,15,39,8.46,4,4,5,445,4.333333333333333,Champions
75,2024-02-14,13,495.63,38.12538461538462,105,2024-01-02,16,59,6.61,4,5,4,454,4.333333333333333,Champions
76,2024-02-29,13,568.8,43.75384615384615,112,2024-01-13,1,48,8.12,5,5,5,555,5.0,Champions
77,2023-12-13,6,154.23,25.705,28,2023-10-30,79,123,1.46,2,3,3,233,2.6666666666666665,Loyal Customers
78,2024-01-23,5,150.38,30.076,29,2023-12-06,38,86,1.74,3,2,3,323,2.6666666666666665,Potential Loyalists
79,2023-12-27,1,29.83,29.83,7,2023-12-27,65,65,0.46,2,1,1,211,1.3333333333333333,Potential Loyalists
80,2023-11-10,5,136.8,27.360000000000003,27,2023-09-17,112,166,0.9,1,2,2,122,1.6666666666666667,Lost Customers
81,2024-02-07,5,150.67,30.133999999999997,25,2024-01-26,23,35,4.29,4,2,3,423,3.0,Potential Loyalists
82,2023-12-11,3,78.06,26.02,14,2023-11-04,81,118,0.76,2,2,2,222,2.0,Potential Loyalists
83,2024-02-16,7,276.17,39.45285714285715,49,2024-01-14,14,47,4.47,4,3,4,434,3.6666666666666665,Loyal Customers
84,2024-02-25,11,623.1,56.64545454545455,125,2024-01-22,5,39,8.46,5,4,5,545,4.666666666666667,Champions
85,2024-02-20,15,841.95,56.13,165,2024-01-03,10,58,7.76,5,5,5,555,5.0,Champions
86,2024-01-02,3,74.21000000000001,24.736666666666668,7,2023-12-02,59,90,1.0,2,2,2,222,2.0,Potential Loyalists
87,2024-02-02,6,171.37,28.561666666666667,28,2023-12-22,28,70,2.57,3,3,3,333,3.0,Loyal Customers
88,2024-02-10,8,417.05,52.13125,75,2024-01-30,20,31,7.74,4,4,4,444,4.0,Champions
89,2024-02-09,4,118.07000000000001,29.517500000000002,15,2024-01-21,21,40,3.0,4,2,2,422,2.6666666666666665,Potential Loyalists
90,2024-02-17,11,468.48,42.58909090909091,97,2024-01-21,13,40,8.25,5,4,4,544,4.333333333333333,Champions
91,2023-11-22,1,29.97,29.97,4,2023-11-22,100,100,0.3,1,1,1,111,1.0,Lost Customers
92,2023-12-30,8,278.93,34.86625,51,2023-12-03,62,89,2.7,2,4,4,244,3.3333333333333335,Loyal Customers
93,2024-02-06,8,245.14,30.6425,60,2023-11-28,24,94,2.55,4,4,4,444,4.0,Champions
94,2024-02-08,12,515.46,42.955000000000005,84,2024-01-11,22,50,7.2,4,4,4,444,4.0,Champions
95,2023-12-26,1,28.82,28.82,7,2023-12-26,66,66,0.45,2,1,1,211,1.3333333333333333,Potential Loyalists
96,2024-01-17,2,66.02000000000001,33.010000000000005,15,2024-01-02,44,59,1.02,3,1,2,312,2.0,Potential Loyalists
97,2024-02-28,14,699.1,49.93571428571429,144,2024-01-27,2,34,12.35,5,5,5,555,5.0,Champions
98,2024-02-19,11,591.34,53.75818181818182,111,2024-01-28,11,33,10.0,5,4,5,545,4.666666666666667,Champions
99,2023-11-16,1,28.48,28.48,6,2023-11-16,106,106,0.28,1,1,1,111,1.0,Lost Customers
100,2023-09-12,1,36.65,36.65,8,2023-09-12,171,171,0.18,1,1,1,111,1.0,Lost Customers
101,2023-12-20,3,120.06,40.02,25,2023-11-29,72,93,0.97,2,2,2,222,2.0,Potential Loyalists
102,2024-02-13,13,673.82,51.832307692307694,131,2024-01-11,17,50,7.8,4,5,5,455,4.666666666666667,Champions
103,2023-12-07,1,30.12,30.12,4,2023-12-07,85,85,0.35,2,1,1,211,1.3333333333333333,Potential Loyalists
104,2023-10-20,3,96.39,32.13,15,2023-09-13,133,170,0.53,1,2,2,122,1.6666666666666667,Lost Customers
105,2023-12-19,2,72.16,36.08,12,2023-12-03,73,89,0.67,2,1,2,212,1.6666666666666667,Potential Loyalists
106,2024-02-21,9,289.76,32.19555555555556,48,2024-01-28,9,33,8.18,5,4,4,544,4.333333333333333,Champions
107,2024-02-11,16,698.8199999999999,43.676249999999996,127,2024-01-10,19,51,9.41,4,5,5,455,4.666666666666667,Champions
108,2024-02-22,21,1225.73,58.368095238095236,237,2024-01-12,8,49,12.86,5,5,5,555,5.0,Champions
109,2023-09-11,1,22.56,22.56,5,2023-09-11,172,172,0.17,1,1,1,111,1.0,Lost Customers
110,2024-02-05,6,180.5,30.083333333333332,30,2023-12-26,25,66,2.73,4,3,3,433,3.3333333333333335,Loyal Customers
111,2024-02-29,12,543.75,45.3125,101,2024-01-24,1,37,9.73,5,4,5,545,4.666666666666667,Champions
112,2024-02-12,10,417.44,41.744,61,2024-01-11,18,50,6.0,4,4,4,444,4.0,Champions
113,2024-01-29,1,37.1,37.1,4,2024-01-29,32,32,0.94,3,1,1,311,1.6666666666666667,Potential Loyalists
114,2024-02-15,12,432.45,36.0375,79,2024-01-10,15,51,7.06,4,4,4,444,4.0,Champions
115,2023-09-24,1,23.04,23.04,5,2023-09-24,159,159,0.19,1,1,1,111,1.0,Lost Customers
116,2023-12-30,6,150.59,25.098333333333333,26,2023-12-02,62,90,2.0,2,3,3,233,2.6666666666666665,Loyal Customers
117,2024-01-02,5,159.28,31.856,30,2023-10-09,59,144,1.04,2,2,3,223,2.3333333333333335,Potential Loyalists
118,2024-02-07,8,266.83,33.35375,45,2024-01-29,23,32,7.5,4,4,4,444,4.0,Champions
119,2024-01-07,6,172.96,28.826666666666668,40,2023-11-24,54,98,1.84,2,3,3,233,2.6666666666666665,Loyal Customers
120,2024-02-04,3,98.66,32.88666666666666,16,2024-01-25,26,36,2.5,4,2,2,422,2.6666666666666665,Potential Loyalists
121,2023-11-20,5,142.85,28.57,28,2023-10-06,102,147,1.02,1,2,3,123,2.0,Lost Customers
122,2024-02-17,18,965.64,53.64666666666667,193,2024-01-16,13,45,12.0,5,5,5,555,5.0,Champions
123,2024-01-08,8,309.62,38.7025,53,2023-12-15,53,77,3.12,2,4,4,244,3.3333333333333335,Loyal Customers
124,2024-02-24,10,613.94,61.394000000000005,110,2024-02-11,6,19,15.79,5,4,5,545,4.666666666666667,Champions
125,2024-01-20,3,101.64,33.88,20,2023-12-31,41,61,1.48,3,2,2,322,2.3333333333333335,Potential Loyalists
126,2024-02-29,10,423.75,42.375,80,2024-02-11,1,19,15.79,5,4,4,544,4.333333333333333,Champions
127,2024-02-17,9,432.51,48.056666666666665,73,2024-01-06,13,55,4.91,5,4,4,544,4.333333333333333,Champions
128,2024-02-26,23,1285.04,55.87130434782608,253,2023-12-21,4,71,9.72,5,5,5,555,5.0,Champions
129,2024-01-25,3,100.89,33.63,18,2024-01-02,36,59,1.53,3,2,2,322,2.3333333333333335,Potential Loyalists
130,2024-01-31,8,362.78,45.3475,61,2024-01-10,30,51,4.71,3,4,4,344,3.6666666666666665,Loyal Customers
131,2023-12-06,2,57.47,28.735,6,2023-11-27,86,95,0.63,2,1,1,211,1.3333333333333333,Potential Loyalists
132,2024-01-01,5,160.88,32.176,29,2023-12-20,60,72,2.08,2,2,3,223,2.3333333333333335,Potential Loyalists
133,2024-02-02,5,172.47,34.494,28,2024-01-23,28,38,3.95,3,2,3,323,2.6666666666666665,Potential Loyalists
134,2024-02-24,4,133.87,33.4675,16,2023-12-07,6,85,1.41,5,2,2,522,3.0,Potential Loyalists
135,2024-02-22,13,716.58,55.121538461538464,131,2024-01-13,8,48,8.12,5,5,5,555,5.0,Champions
136,2023-10-09,1,13.59,13.59,5,2023-10-09,144,144,0.21,1,1,1,111,1.0,Lost Customers
137,2024-02-03,5,194.22,38.844,40,2024-01-20,27,41,3.66,4,2,3,423,3.0,Potential Loyalists
138,2023-11-17,8,268.45,33.55625,39,2023-07-14,105,231,1.04,1,4,4,144,3.0,Loyal Customers
139,2024-02-17,23,1492.74,64.90173913043478,294,2023-12-25,13,67,10.3,5,5,5,555,5.0,Champions
140,2024-01-31,7,205.04,29.291428571428572,37,2023-12-23,30,69,3.04,3,3,3,333,3.0,Loyal Customers
141,2024-02-01,10,331.92,33.192,59,2024-01-02,29,59,5.08,3,4,4,344,3.6666666666666665,Loyal Customers
142,2023-10-22,2,53.35,26.675,10,2023-09-22,131,161,0.37,1,1,1,111,1.0,Lost Customers
143,2024-01-10,6,181.65,30.275000000000002,38,2023-12-25,51,67,2.69,2,3,3,233,2.6666666666666665,Loyal Customers
144,2024-01-25,9,304.58,33.84222222222222,59,2024-01-02,36,59,4.58,3,4,4,344,3.6666666666666665,Loyal Customers
145,2024-02-27,11,473.69,43.06272727272727,94,2024-02-10,3,20,16.5,5,4,4,544,4.333333333333333,Champions
146,2024-01-31,13,557.63,42.894615384615385,106,2023-12-13,30,79,4.94,3,5,5,355,4.333333333333333,Loyal Customers
147,2024-01-21,4,151.42000000000002,37.855000000000004,26,2024-01-08,40,53,2.26,3,2,3,323,2.6666666666666665,Potential Loyalists
148,2024-02-09,8,239.99,29.99875,42,2023-12-26,21,66,3.64,4,4,4,444,4.0,Champions
149,2024-02-16,9,525.41,58.37888888888889,107,2024-01-09,14,52,5.19,4,4,4,444,4.0,Champions
150,2023-12-17,4,112.45,28.1125,8,2023-10-25,75,128,0.94,2,2,2,222,2.0,Potential Loyalists
151,2023-11-30,1,41.02,41.02,7,2023-11-30,92,92,0.33,1,1,1,111,1.0,Lost Customers
152,2024-02-12,14,620.48,44.32,110,2024-01-09,18,52,8.08,4,5,5,455,4.666666666666667,Champions
153,2024-01-31,5,146.99,29.398000000000003,28,2024-01-15,30,46,3.26,3,2,3,323,2.6666666666666665,Potential Loyalists
154,2024-02-25,14,746.22,53.30142857142857,137,2024-01-23,5,38,11.05,5,5,5,555,5.0,Champions
155,2023-12-20,1,20.99,20.99,5,2023-12-20,72,72,0.42,2,1,1,211,1.3333333333333333,Potential Loyalists
156,2024-02-29,6,278.61,46.435,51,2024-02-19,1,11,16.36,5,3,4,534,4.0,Loyal Customers
157,2023-12-03,6,156.41,26.06833333333333,32,2023-08-26,89,188,0.96,1,3,3,133,2.3333333333333335,Loyal Customers
158,2023-11-27,4,132.96,33.24,20,2023-10-27,95,126,0.95,1,2,2,122,1.6666666666666667,Lost Customers
159,2023-11-04,4,80.3,20.075,14,2023-10-18,118,135,0.89,1,2,2,122,1.6666666666666667,Lost Customers
160,2024-02-20,20,1110.1499999999999,55.50749999999999,222,2023-12-19,10,73,8.22,5,5,5,555,5.0,Champions
161,2023-09-18,2,48.96,24.48,10,2023-08-19,165,195,0.31,1,1,1,111,1.0,Lost Customers
162,2024-02-04,9,442.12,49.12444444444444,77,2024-01-06,26,55,4.91,4,4,4,444,4.0,Champions
163,2024-02-23,18,1172.5,65.13888888888889,224,2024-01-12,7,49,11.02,5,5,5,555,5.0,Champions
164,2024-01-27,4,140.33,35.0825,23,2024-01-21,34,40,3.0,3,2,2,322,2.3333333333333335,Potential Loyalists
165,2024-02-12,8,307.74,38.4675,55,2024-01-04,18,57,4.21,4,4,4,444,4.0,Champions
166,2023-12-21,2,41.09,20.545,7,2023-11-21,71,101,0.59,2,1,1,211,1.3333333333333333,Potential Loyalists
167,2023-12-26,3,66.31,22.103333333333335,12,2023-11-18,66,104,0.87,2,2,2,222,2.0,Potential Loyalists
168,2024-02-09,6,291.25,48.541666666666664,59,2024-01-30,21,31,5.81,4,3,4,434,3.6666666666666665,Loyal Customers
169,2023-09-03,2,29.75,14.875,6,2023-08-04,180,210,0.29,1,1,1,111,1.0,Lost Customers
170,2024-02-12,10,489.06,48.906,95,2024-02-01,18,29,10.34,4,4,4,444,4.0,Champions
171,2024-02-09,4,115.32000000000001,28.830000000000002,18,2024-01-22,21,39,3.08,4,2,2,422,2.6666666666666665,Potential Loyalists
172,2024-02-18,10,458.46000000000004,45.846000000000004,80,2024-01-10,12,51,5.88,5,4,4,544,4.333333333333333,Champions
173,2023-09-05,1,18.55,18.55,6,2023-09-05,178,178,0.17,1,1,1,111,1.0,Lost Customers
174,2024-02-18,15,653.45,43.56333333333334,120,2024-01-18,12,43,10.47,5,5,5,555,5.0,Champions
175,2024-02-24,17,948.06,55.768235294117645,183,2024-01-23,6,38,13.42,5,5,5,555,5.0,Champions
176,2024-02-04,3,91.66,30.55333333333333,13,2024-01-30,26,31,2.9,4,2,2,422,2.6666666666666665,Potential Loyalists
177,2023-08-13,1,21.13,21.13,1,2023-08-13,201,201,0.15,1,1,1,111,1.0,Lost Customers
178,2023-10-17,1,20.47,20.47,2,2023-10-17,136,136,0.22,1,1,1,111,1.0,Lost Customers
179,2024-01-14,5,181.87,36.374,30,2023-11-19,47,103,1.46,3,2,3,323,2.6666666666666665,Potential Loyalists
180,2023-10-04,2,45.81,22.905,11,2023-09-06,149,177,0.34,1,1,1,111,1.0,Lost Customers
181,2023-09-21,2,54.35,27.175,15,2023-08-22,162,192,0.31,1,1,1,111,1.0,Lost Customers
182,2024-01-11,6,234.88,39.14666666666667,36,2023-12-22,50,70,2.57,2,3,3,233,2.6666666666666665,Loyal Customers
183,2024-02-09,12,597.09,49.7575,112,2024-01-14,21,47,7.66,4,4,5,445,4.333333333333333,Champions
184,2024-01-10,2,58.129999999999995,29.064999999999998,14,2023-12-15,51,77,0.78,2,1,1,211,1.3333333333333333,Potential Loyalists
185,2023-11-16,5,150.89,30.177999999999997,36,2023-10-02,106,151,0.99,1,2,3,123,2.0,Lost Customers
186,2024-02-06,3,109.05,36.35,23,2024-01-04,24,57,1.58,4,2,2,422,2.6666666666666665,Potential Loyalists
187,2024-02-28,13,737.82,56.75538461538462,149,2024-02-04,2,26,15.0,5,5,5,555,5.0,Champions
188,2023-12-13,7,148.76,21.25142857142857,27,2023-10-16,79,137,1.53,2,3,3,233,2.6666666666666665,Loyal Customers
189,2024-02-21,7,298.27,42.61,62,2024-02-10,9,20,10.5,5,3,4,534,4.0,Loyal Customers
190,2023-10-02,2,51.67,25.835,7,2023-09-02,151,181,0.33,1,1,1,111,1.0,Lost Customers
191,2024-02-08,12,536.45,44.70416666666667,92,2024-01-05,22,56,6.43,4,4,4,444,4.0,Champions
192,2024-02-11,11,420.99,38.27181818181818,75,2023-12-28,19,64,5.16,4,4,4,444,4.0,Champions
193,2023-12-23,5,175.27,35.054,31,2023-11-01,69,121,1.24,2,2,3,223,2.3333333333333335,Potential Loyalists
194,2024-02-11,11,485.23,44.11181818181819,81,2024-01-26,19,35,9.43,4,4,4,444,4.0,Champions
195,2024-02-10,9,387.33,43.03666666666666,70,2024-01-25,20,36,7.5,4,4,4,444,4.0,Champions
196,2024-02-24,6,206.1,34.35,40,2024-01-06,6,55,3.27,5,3,3,533,3.6666666666666665,Loyal Customers
197,2023-10-20,1,24.36,24.36,4,2023-10-20,133,133,0.23,1,1,1,111,1.0,Lost Customers
198,2024-02-10,13,549.49,42.26846153846154,92,2023-12-27,20,65,6.0,4,5,5,455,4.666666666666667,Champions
199,2024-02-19,7,242.73000000000002,34.675714285714285,48,2024-02-06,11,24,8.75,5,3,4,534,4.0,Loyal Customers
200,2023-12-24,5,133.87,26.774,24,2023-12-09,68,83,1.81,2,2,2,222,2.0,Potential Loyalists
201,2023-09-08,1,16.83,16.83,2,2023-09-08,175,175,0.17,1,1,1,111,1.0,Lost Customers
202,2024-02-03,3,104.29,34.763333333333335,19,2024-01-10,27,51,1.76,4,2,2,422,2.6666666666666665,Potential Loyalists
203,2024-02-06,8,341.44,42.68,67,2024-01-21,24,40,6.0,4,4,4,444,4.0,Champions
204,2024-02-28,16,966.0,60.375,180,2024-01-13,2,48,10.0,5,5,5,555,5.0,Champions
205,2024-02-16,9,427.84,47.53777777777778,82,2024-01-28,14,33,8.18,4,4,4,444,4.0,Champions
206,2024-02-05,18,759.69,42.205000000000005,138,2023-12-07,25,85,6.35,4,5,5,455,4.666666666666667,Champions
207,2023-11-18,4,110.86999999999999,27.717499999999998,23,2023-09-12,104,171,0.7,1,2,2,122,1.6666666666666667,Lost Customers
208,2024-02-10,14,633.0600000000001,45.21857142857143,127,2024-01-04,20,57,7.37,4,5,5,455,4.666666666666667,Champions
209,2024-01-27,5,141.82999999999998,28.365999999999996,27,2024-01-05,34,56,2.68,3,2,2,322,2.3333333333333335,Potential Loyalists
210,2023-12-21,3,93.43,31.143333333333334,18,2023-12-05,71,87,1.03,2,2,2,222,2.0,Potential Loyalists
211,2024-01-13,8,261.69,32.71125,48,2023-12-18,48,74,3.24,3,4,4,344,3.6666666666666665,Loyal Customers
212,2024-02-16,13,586.0,45.07692307692308,117,2024-01-19,14,42,9.29,4,5,5,455,4.666666666666667,Champions
213,2023-12-07,1,35.41,35.41,6,2023-12-07,85,85,0.35,2,1,1,211,1.3333333333333333,Potential Loyalists
214,2024-01-04,3,76.24,25.41333333333333,9,2023-11-11,57,111,0.81,2,2,2,222,2.0,Potential Loyalists
215,2023-11-30,1,29.29,29.29,6,2023-11-30,92,92,0.33,1,1,1,111,1.0,Lost Customers
216,2024-02-15,13,651.37,50.105384615384615,122,2024-01-07,15,54,7.22,4,5,5,455,4.666666666666667,Champions
217,2024-01-31,6,259.54,43.25666666666667,43,2024-01-23,30,38,4.74,3,3,4,334,3.3333333333333335,Loyal Customers
218,2023-09-22,1,13.93,13.93,1,2023-09-22,161,161,0.19,1,1,1,111,1.0,Lost Customers
219,2024-01-08,7,242.52,34.645714285714284,48,2023-11-19,53,103,2.04,2,3,4,234,3.0,Loyal Customers
220,2024-02-14,6,244.03,40.67166666666667,45,2024-01-29,16,32,5.62,4,3,4,434,3.6666666666666665,Loyal Customers
221,2024-02-26,6,197.78,32.96333333333333,32,2024-01-18,4,43,4.19,5,3,3,533,3.6666666666666665,Loyal Customers
222,2023-12-25,3,81.41,27.136666666666667,18,2023-12-15,67,77,1.17,2,2,2,222,2.0,Potential Loyalists
223,2023-11-09,1,29.99,29.99,4,2023-11-09,113,113,0.27,1,1,1,111,1.0,Lost Customers
224,2024-02-10,13,562.37,43.25923076923077,87,2024-01-04,20,57,6.84,4,5,5,455,4.666666666666667,Champions
225,2023-08-26,1,30.38,30.38,4,2023-08-26,188,188,0.16,1,1,1,111,1.0,Lost Customers
226,2024-02-21,12,607.85,50.65416666666667,127,2024-01-29,9,32,11.25,5,4,5,545,4.666666666666667,Champions
227,2024-02-04,7,212.62,30.374285714285715,43,2023-12-24,26,68,3.09,4,3,3,433,3.3333333333333335,Loyal Customers
228,2023-11-24,5,158.12,31.624000000000002,31,2023-09-22,98,161,0.93,1,2,3,123,2.0,Lost Customers
